id	smiles	Mw	Qed	logP	Mr	HBD	HBA	RB	TPSA	AromaticRings	FractionCSP3
TKC002456	COC(=O)[C@]1(C)CCC[C@]2(COC(C)=O)c3cc4occc4c(C)c3C[C@@H](OC(C)=O)[C@@H]12	2	7	10	14	17	22	25	30	35	38
TKC002546	C=C1CCC[C@@H]2[C@]1(C)CC[C@H](C)[C@@]2(C)CCC(C)=O	1	8	11	14	17	21	25	29	33	40
TKC002585	C=C(C)[C@@H]1CCC2=C[C@H](C[C@@]3(C)O[C@@H]3C(=O)/C=C(\C)C(=O)C1)OC2=O	1	7	10	14	17	22	25	30	33	38
TKC002823	C=C[C@]1(C)CC[C@@]2(CO)C3=CC(=O)O[C@@H]3C(C)(C)CC[C@@H]2C1	1	8	10	14	17	21	25	29	33	39
TKC002824	C=C[C@]1(C)CC[C@@]2(C)C3=CC(=O)O[C@@H]3C(C)(C)C[C@H](O)[C@@H]2C1	1	7	10	14	17	21	25	29	33	39
TKC002856	CC(=O)O[C@@H]1[C@H](OC/C2=C/[C@H]3[C@@H](C[C@H](OC(=O)/C=C/c4cn(C)cn4)[C@]4(C)C=C[C@@]2(O)O4)C(C)=CC[C@@H]3C(C)C)OC[C@@H](O)[C@H]1O	3	6	10	15	18	23	26	31	34	39
TKC002859	CO[C@]12C=C[C@](C)(O1)[C@@H](OC(=O)/C=C/c1cn(C)cn1)C[C@H]1C(C)=CC[C@H](C(C)C)[C@H]1/C=C\2CO[C@@H]1OC[C@@H](O)[C@@H](OC(C)=O)[C@@H]1O	3	6	10	15	17	23	26	31	34	39
TKC002860	CO[C@]12C=C[C@](C)(O1)[C@@H](OC(=O)/C=C/c1cn(C)cn1)C[C@H]1C(C)=CC[C@H](C(C)C)[C@H]1/C=C\2CO[C@@H]1OC[C@@H](O)[C@@H](O)[C@@H]1OC(C)=O	3	6	10	15	17	23	26	31	34	39
TKC002876	C[C@H]1C[C@H]2[C@@H]3C(C)(C)O[C@]4(O)C(=O)[C@]5(O)[C@@H](C)CC[C@H]1[C@]25C(=O)[C@]34C	1	8	10	14	17	22	25	30	33	40
TKC002921	CC(C)[C@@]12C=C3[C@@H](O)C[C@@H]4[C@@](C)(C(=O)O)CCC[C@@]4(C)[C@]3(CC1)OO2	1	7	10	14	17	22	25	30	33	40
TKC002939	CCCCCCCCCC(=O)O[C@H]1C=C2[C@@H](OC(C)=O)O[C@@H](OC(C)=O)[C@]23[C@@H](OC2OC[C@@H](O)[C@H](O)[C@H]2O)C[C@@H](C)[C@@](C)(C[C@H](O)C2=CCOOC2)[C@@H]3C1	3	5	10	15	18	24	28	32	33	40
TKC003113	C=C(C)[C@H]1CC/C(C)=C/CC[C@@]2(C)O[C@@H]2CC/C(CO)=C\[C@@H]1O	1	7	10	14	17	21	25	29	33	39
TKC003114	C=C(C)[C@H]1CC/C(C)=C/CC[C@@]2(C)O[C@@H]2CC/C(COC(C)=O)=C\[C@@H]1O	1	7	10	14	17	21	25	29	33	39
TKC003178	C=C1CCCC2C1(C)CCC(C)C2(C)C/C=C1/[C@H](O)[C@@H](OC(C)=O)O[C@@H]1OC(C)=O	2	7	10	14	17	22	25	30	33	39
TKC003179	C=C1CCCC2C1(C)CCC(C)C2(C)C/C=C1/[C@H](OC(C)=O)[C@@H](OC(C)=O)O[C@@H]1OC(C)=O	2	6	10	14	17	22	26	30	33	39
TKC003183	C=CC(=C)CC[C@@]1(C)[C@@H]2C[C@@H](O)C[C@H]3[C@@H](OC(C)=O)O[C@H](OC(C)=O)[C@@]23CC[C@H]1C	2	7	10	14	17	22	26	30	33	39
TKC003188	C=CC(=C)CC[C@@]1(C)[C@@H](C)CC[C@]23[C@H](C[C@@H](O)C[C@H]12)[C@H](OC(=O)CCC)O[C@@H]3OC(C)=O	2	7	10	14	17	22	26	30	33	39
TKC003252	C=CC(=C)[C@@H](C[C@]1(C)[C@H](C)[C@@H](O)[C@@H](O)[C@@]23C(=C[C@H](OC(=O)/C=C\C=C\CCCCC)C[C@@H]12)[C@@H](OC(C)=O)O[C@H]3OC(C)=O)OO	3	5	10	15	18	23	27	31	33	39
TKC003256	C=C/C(C)=C/C[C@]1(C)[C@H](C)[C@@H](O)[C@@H](O)[C@@]23C(=C[C@H](OC(=O)/C=C\C=C\CCCCC)C[C@@H]12)[C@@H](OC(C)=O)O[C@H]3OC(C)=O	3	5	11	15	17	22	27	31	33	39
TKC003278	C=CC(=C)CC[C@]1(C)[C@H](C)[C@@H](O)[C@H](O)[C@@]23C(=C[C@H](OC(=O)CCC)C[C@@H]12)[C@@H](OC(C)=O)O[C@H]3OC(C)=O	2	6	10	14	17	22	26	31	33	39
