TKC003178	C=C1CCCC2C1(C)CCC(C)C2(C)C/C=C1/[C@H](O)[C@@H](OC(C)=O)O[C@@H]1OC(C)=O
TKC003179	C=C1CCCC2C1(C)CCC(C)C2(C)C/C=C1/[C@H](OC(C)=O)[C@@H](OC(C)=O)O[C@@H]1OC(C)=O
TKC003183	C=CC(=C)CC[C@@]1(C)[C@@H]2C[C@@H](O)C[C@H]3[C@@H](OC(C)=O)O[C@H](OC(C)=O)[C@@]23CC[C@H]1C
TKC003188	C=CC(=C)CC[C@@]1(C)[C@@H](C)CC[C@]23[C@H](C[C@@H](O)C[C@H]12)[C@H](OC(=O)CCC)O[C@@H]3OC(C)=O
TKC003252	C=CC(=C)[C@@H](C[C@]1(C)[C@H](C)[C@@H](O)[C@@H](O)[C@@]23C(=C[C@H](OC(=O)/C=C\C=C\CCCCC)C[C@@H]12)[C@@H](OC(C)=O)O[C@H]3OC(C)=O)OO
TKC003256	C=C/C(C)=C/C[C@]1(C)[C@H](C)[C@@H](O)[C@@H](O)[C@@]23C(=C[C@H](OC(=O)/C=C\C=C\CCCCC)C[C@@H]12)[C@@H](OC(C)=O)O[C@H]3OC(C)=O
TKC003278	C=CC(=C)CC[C@]1(C)[C@H](C)[C@@H](O)[C@H](O)[C@@]23C(=C[C@H](OC(=O)CCC)C[C@@H]12)[C@@H](OC(C)=O)O[C@H]3OC(C)=O
TKC003279	C=CC(=C)CC[C@]1(C)[C@H](C)[C@@H](O)[C@H](OC(C)=O)[C@@]23C(=C[C@H](OC(=O)CCC)C[C@@H]12)[C@@H](OC(C)=O)O[C@H]3OC(C)=O
TKC003280	C=CC(=C)CC[C@]1(C)[C@H](C)[C@@H](OC(C)=O)[C@H](O)[C@@]23C(=C[C@H](OC(=O)CCC)C[C@@H]12)[C@@H](OC(C)=O)O[C@H]3OC(C)=O
TKC003281	C=CC(=C)CC[C@]1(C)[C@H](C)[C@@H](O)[C@H](OC(=O)/C=C\C=C\CCCCC)[C@@]23C(=C[C@H](O)C[C@@H]12)[C@@H](OC(C)=O)O[C@@H]3OC(C)=O
TKC003282	C=CC(=C)CC[C@]1(C)[C@H](C)[C@@H](OC(=O)/C=C\C=C\CCCCC)[C@H](O)[C@@]23C(=C[C@H](O)C[C@@H]12)[C@@H](OC(C)=O)O[C@@H]3OC(C)=O
TKC003283	C=CC(=C)CC[C@]1(C)[C@H](C)[C@@H](OC(=O)/C=C\C=C\CCCCC)[C@H](OC(C)=O)[C@@]23C(=C[C@H](O)C[C@@H]12)[C@@H](OC(C)=O)O[C@@H]3OC(C)=O
TKC003285	C=CC(=C)CC[C@]1(C)[C@H](C)[C@@H](OC(=O)/C=C/c2ccc(O)cc2)[C@H](O)[C@@]23C(=C[C@H](OC(=O)CCC)C[C@@H]12)[C@H](OC)O[C@H]3OC
TKC003290	C=CC(=C)CC[C@@]1(C)[C@@H](C)[C@@H](O)[C@@H](O)[C@]23C(=C[C@@H](OC(=O)C(C)CC)C[C@H]12)[C@H](OC(=O)CCC)O[C@@H]3OC(C)=O
TKC003294	C=CC(=C)[C@H](O)C[C@@]1(C)[C@@H]2C[C@@H](O)C=C3[C@@H](OC(C)=O)O[C@@H](OC(C)=O)[C@]32[C@@H](OC(=O)CC(O)CCCCCCCCC)C[C@H]1C
TKC003295	C=CC(=C)[C@@H](O)C[C@@]1(C)[C@@H]2C[C@@H](OC(=O)CCCCCCCCC)C=C3[C@@H](OC(C)=O)O[C@@H](OC(C)=O)[C@]32[C@@H](OC2OC[C@@H](O)[C@H](O)[C@H]2O)C[C@H]1C
